
2018-01-03 19:52:37 [ main:0 ] - [ INFO ] 
2018-01-03 19:52:37 [ main:1 ] - [ INFO ] 异常信息
2018-01-03 19:52:37 [ main:2 ] - [ INFO ] java.lang.NullPointerException
2018-01-03 19:53:02 [ main:0 ] - [ INFO ] 
2018-01-03 19:53:02 [ main:1 ] - [ INFO ] 异常信息
2018-01-03 19:53:02 [ main:1 ] - [ INFO ] java.lang.NullPointerException

2018-01-09 09:28:50 [ Thread-0:0 ] - [ INFO ] 1个无花果
2018-01-09 09:28:50 [ Thread-13:1 ] - [ INFO ] 10个无花果
2018-01-09 09:28:50 [ Thread-21:1 ] - [ INFO ] 18个无花果
2018-01-09 09:28:50 [ Thread-20:1 ] - [ INFO ] 17个无花果
2018-01-09 09:28:50 [ Thread-16:1 ] - [ INFO ] 13个无花果
2018-01-09 09:28:50 [ Thread-19:1 ] - [ INFO ] 16个无花果
2018-01-09 09:28:50 [ Thread-18:1 ] - [ INFO ] 15个无花果
2018-01-09 09:28:50 [ Thread-17:1 ] - [ INFO ] 14个无花果
2018-01-09 09:28:50 [ Thread-15:1 ] - [ INFO ] 12个无花果
2018-01-09 09:28:50 [ Thread-12:1 ] - [ INFO ] 9个无花果
2018-01-09 09:28:50 [ Thread-11:1 ] - [ INFO ] 8个无花果
2018-01-09 09:28:50 [ Thread-10:1 ] - [ INFO ] 7个无花果
2018-01-09 09:28:50 [ Thread-9:1 ] - [ INFO ] 6个无花果
2018-01-09 09:28:50 [ Thread-8:1 ] - [ INFO ] 5个无花果
2018-01-09 09:28:50 [ Thread-6:0 ] - [ INFO ] 4个无花果
2018-01-09 09:28:50 [ Thread-2:0 ] - [ INFO ] 2个无花果
2018-01-09 09:28:50 [ Thread-4:0 ] - [ INFO ] 3个无花果
2018-01-09 09:28:50 [ Thread-40:2 ] - [ INFO ] 29个无花果
2018-01-09 09:28:50 [ Thread-36:2 ] - [ INFO ] 27个无花果
2018-01-09 09:28:50 [ Thread-38:2 ] - [ INFO ] 28个无花果
2018-01-09 09:28:50 [ Thread-22:2 ] - [ INFO ] 19个无花果
2018-01-09 09:28:50 [ Thread-34:2 ] - [ INFO ] 26个无花果
2018-01-09 09:28:50 [ Thread-32:2 ] - [ INFO ] 25个无花果
2018-01-09 09:28:50 [ Thread-30:2 ] - [ INFO ] 24个无花果
2018-01-09 09:28:50 [ Thread-28:2 ] - [ INFO ] 23个无花果
2018-01-09 09:28:50 [ Thread-26:2 ] - [ INFO ] 22个无花果
2018-01-09 09:28:50 [ Thread-24:2 ] - [ INFO ] 21个无花果
2018-01-09 09:28:50 [ Thread-23:2 ] - [ INFO ] 20个无花果
